Theta, Dist(mm)(Unclean), 
358.154,0,
359.528,0,
0.730591,0,
2.26318,0,
3.63647,0,
4.99878,0,
6.37207,0,
7.74536,0,
9.10767,0,
10.481,0,
11.8433,0,
13.2166,0,
14.5898,0,
15.9521,0,
17.3254,0,
18.6053,0,
19.9677,0,
21.3409,0,
22.6978,0,
24.0601,0,
25.4333,0,
26.7957,0,
28.1689,0,
29.5312,0,
30.9045,0,
32.2614,0,
33.6237,0,
34.9805,0,
36.3593,0,
37.7161,0,
39.0729,0,
40.4352,0,
41.8085,0,
43.2642,0,
44.6375,0,
45.9998,0,
47.373,0,
48.7299,0,
50.1086,0,
51.4819,0,
52.8387,0,
54.201,0,
55.5908,0,
56.9531,0,
58.3264,0,
59.6832,0,
61.062,0,
62.4188,0,
63.7921,0,
65.1544,0,
66.5112,0,
67.89,0,
69.2468,0,
70.6201,0,
71.9824,0,
73.3557,0,
74.718,0,
76.0913,0,
77.4481,0,
78.8269,0,
80.2002,0,
81.5625,0,
82.9358,0,
84.2926,0,
85.6714,0,
87.0447,0,
88.4015,0,
89.7803,0,
91.1206,0,
92.4994,0,
93.8562,0,
95.2295,0,
96.5918,0,
97.9651,0,
99.3274,0,
100.684,0,
102.057,0,
103.42,0,
104.793,0,
106.155,0,
107.529,0,
108.902,0,
110.264,0,
111.638,0,
113,0,
114.357,0,
115.714,0,
117.076,0,
118.433,0,
119.795,0,
121.185,0,
122.542,0,
123.904,0,
125.277,0,
126.639,0,
127.996,0,
129.375,0,
130.732,0,
132.089,0,
133.467,0,
134.824,0,
136.187,0,
137.56,0,
138.983,0,
140.356,0,
141.718,0,
143.075,0,
144.448,0,
145.811,0,
147.184,0,
148.557,0,
149.919,0,
151.293,0,
152.655,0,
154.028,0,
155.402,0,
156.764,0,
158.137,0,
159.5,0,
160.873,0,
162.202,0,
163.575,0,
164.932,0,
166.295,0,
167.668,0,
169.03,0,
170.387,0,
171.76,0,
173.123,0,
174.479,0,
175.858,0,
177.215,0,
178.577,0,
179.951,0,
181.307,0,
182.686,0,
184.043,0,
185.422,0,
186.762,0,
188.124,0,
189.481,0,
190.854,0,
192.217,0,
193.59,0,
194.952,0,
196.309,0,
197.682,0,
199.045,0,
200.402,0,
201.764,0,
203.121,0,
204.483,0,
205.856,0,
207.23,0,
208.592,0,
210.042,0,
211.404,0,
212.778,0,
214.14,0,
215.513,0,
216.887,0,
218.249,0,
219.622,0,
220.979,0,
222.341,0,
223.715,0,
225.093,0,
226.467,0,
227.823,0,
229.186,0,
230.559,0,
231.921,0,
233.311,0,
234.651,0,
236.03,0,
237.404,0,
238.76,0,
240.123,0,
241.512,0,
242.875,0,
244.232,0,
245.605,0,
246.967,0,
248.34,0,
249.703,0,
251.076,0,
252.449,0,
253.828,0,
255.185,0,
256.558,0,
257.921,0,
259.354,0,
260.733,0,
262.106,0,
263.469,0,
264.842,0,
266.215,0,
267.578,0,
268.967,0,
270.324,0,
271.703,0,
273.076,0,
274.449,0,
275.812,0,
277.185,0,
278.558,0,
279.921,0,
281.31,0,
282.574,0,
283.953,0,
285.326,0,
286.683,0,
288.045,0,
289.418,0,
290.792,0,
292.154,0,
293.527,0,
294.89,0,
296.263,0,
297.62,0,
298.998,0,
300.355,0,
301.718,0,
303.091,0,
304.453,0,
305.81,0,
307.266,0,
308.622,0,
309.996,0,
311.375,0,
312.748,0,
314.105,0,
315.483,0,
316.857,0,
318.214,0,
319.592,0,
320.966,0,
322.328,0,
323.701,0,
325.074,0,
326.437,0,
327.81,0,
329.183,0,
330.513,0,
331.886,0,
333.248,0,
334.605,0,
335.984,0,
337.357,0,
338.73,0,
340.093,0,
341.45,0,
342.823,0,
344.202,0,
345.558,0,
346.937,0,
348.294,0,
349.667,0,
351.046,0,
352.403,0,
353.776,0,
355.139,0,
356.495,0,
357.858,0,
Theta, Dist(mm)(Unclean), 
